Ticker,Name,Price,NWCI,CFOA,D/E,PAT,Dependent variables,,,,,
OBER IS Equity,Oberoi Realty Ltd,248.5,13022.824,-10133048320,18.08385849,3639955456,1,,,,,
BLCL IS Equity,Balmer Lawrie & Co Ltd,542,319.371,2288499968,18.92183495,1377292288,1,,,,,
VATW IS Equity,VA Tech Wabag Ltd,488.4,1283.3,-39100000,19.9023838,1610120576,1,,,,,
ABB IS Equity,ABB India Ltd,1153.85,1215.3,3946099968,19.94316292,3492418304,1,,,,,
ATXL IS Equity,Automotive Axles Ltd,585,0,0,20.65078735,224700720,1,,,,,
TGBL IS Equity,Tata Global Beverages Ltd,116.45,-678.148,4789520896,20.78865051,3578687232,1,,,,,
GP IS Equity,Godfrey Phillips India Ltd,1220,2216.876,488187008,20.99866867,1749631232,1,,,,,
GRIL IS Equity,Graphite India Ltd,70.2,-554.18,1610320000,20.99999809,539673728,1,,,,,
NIIT IS Equity,NIIT Ltd,80.95,-660.94,330670016,21.01534843,-972257600,0,,,,,
CENK IS Equity,Century Enka Ltd,161.6,-244.4,1115100032,21.24305344,444306240,1,,,,,
WPRO IS Equity,Wipro Ltd,533.85,41875,1.00E+11,21.35359192,74692184064,1,,,,,
ATD IS Equity,Alstom T&D India Ltd,378.55,-1092.2,4350799872,21.37978363,2072847872,1,,,,,
DABUR IS Equity,Dabur India Ltd,247,1148,11174400000,21.75251389,9922298880,1,,,,,
ESC IS Equity,Escorts Ltd,135.3,-392.527,0,22.29761505,914675200,1,,,,,
MRKS IS Equity,Marksans Pharma Ltd,51,90.935559,1490911488,22.8403492,1147621760,1,,,,,
VGM IS Equity,Vaibhav Global Ltd,360,75.378552,1125252352,23.23560143,986494080,1,,,,,
MRCO IS Equity,Marico Ltd,237.45,1667.1,6756800000,23.27638245,5708249600,1,,,,,
HAVL IS Equity,Havells India Ltd,283.6,-4967.3,9326799872,23.31116867,4364133376,1,,,,,
CU IS Equity,Carborundum Universal Ltd,178,-903.31,3059889920,24.22737503,1155141504,1,,,,,
TC IS Equity,Thomas Cook India Ltd,188.8,0,928732544,24.33564377,1446293120,1,,,,,
NELI IS Equity,Navneet Education Ltd,81.7,-36.4,1547200000,26.42690277,1393025152,1,,,,,
MHS IS Equity,Maharashtra Seamless Ltd,139.5,414.843279,1142855168,26.85298347,685845824,1,,,,,
TMX IS Equity,Thermax Ltd,758,-2528.6,2952699904,27.71419144,2111770752,1,,,,,
MCLR IS Equity,McLeod Russel India Ltd,178.35,1893.346,762497984,28.44451141,490553312,1,,,,,
ATLP IS Equity,Atul Ltd,1446,168.1,2828600064,28.60520554,2358911488,1,,,,,
NETM IS Equity,Network 18 Media & Investments Ltd,43.05,-1228.778608,-2168812032,29.21332741,-3588094976,0,,,,,
GUJS IS Equity,Gujarat State Petronet Ltd,128.9,17.131,5383095808,29.37373734,4878789632,1,,,,,
BIOS IS Equity,Biocon Ltd,492.25,1759,0,29.43201447,4352436864,1,,,,,
ONGC IS Equity,Oil & Natural Gas Corp Ltd,206.25,76973.69,3.63E+11,29.48952866,1.58E+11,1,,,,,
ALPM IS Equity,Alembic Pharmaceuticals Ltd,620.5,1394.451,1688624000,29.78603935,2799098368,1,,,,,
HDIL IS Equity,Housing Development & Infrastructure Ltd,71.4,333.791,1733812992,29.92531013,5806891520,1,,,,,
KJC IS Equity,Kajaria Ceramics Ltd,930,259.4,1818300032,30.29884338,2049405824,1,,,,,
BEML IS Equity,BEML Ltd,1046.1,-4033.26,4907211776,31.07337189,149684016,1,,,,,
SUNP IS Equity,Sun Pharmaceutical Industries Ltd,860.4,16584.7,53591199744,31.56948853,58429734912,1,,,,,
AGLL IS Equity,Allcargo Logistics Ltd,158.1,-151.9,3844999936,31.78122711,2504238336,1,,,,,
ASTRA IS Equity,Astral Polytechnik Ltd,371.2,871.342,922504000,31.89550972,947343296,1,,,,,
ARCP IS Equity,Anant Raj Ltd,32.7,1235.826955,2025147520,31.91618729,1793070336,1,,,,,
